Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C5, C8",0603,4,0.1u,
"C3, C6, C7",0603,3,1u,
C4,0603,1,10u,
"D1, D2",D_SOD-123F,2,SS2040FL,
D3,LED_WS2812B-2020_PLCC4_2.0x2.0mm,1,WS2812C-2020,
F1,Fuse_Bourns_MF-RHT050,1,MF-R050,
J1,BarrelJack_Horizontal,1,Jack-DC,
J2,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,1,USB_C_Receptacle_USB2.0_16P,
J3,JST_XH_S2B-XH-A_1x02_P2.50mm_Horizontal,1,Conn_01x02_Pin,
J4,Jack_XLR_Neutrik_NC3MAH_Horizontal,1,NC3MAH,
J5,Jack_XLR_Neutrik_NC3FAH2_Horizontal,1,NC3FAH2,
Q1,SOT-23,1,BSS138,
"R1, R2",0603,2,5.1k,
"R3, R4, R5",0603,3,10k,
SW1,SW_SPST_PTS810,1,SW_Push,
SW2,SW_DIP_SPSTx10_Slide_6.7x26.96mm_W7.62mm_P2.54mm_LowProfile,1,SW_DIP_x10,
U1,SIP3_11.6x8.5mm,1,BP5293-50,
U2,SOT-23,1,AP7333-33SA,
U3,ESP32-C3-WROOM-02,1,ESP32-C3-WROOM-02,
U4,SOIC-8_3.9x4.9mm_P1.27mm,1,MAX3485,
